TS : 5037604, TJ : 4704736
TS : 1880072, TJ : 1480117
TS : 1960340, TJ : 1562406
TS : 2218492, TJ : 1872991
TS : 1847485, TJ : 1508028
TS : 4975534, TJ : 4590265
TS : 1908434, TJ : 1600990
TS : 12682123, TJ : 12286630
TS : 2891546, TJ : 2578544
TS : 4910224, TJ : 4550151
TS : 1830664, TJ : 1490638
TS : 26746323, TJ : 26427110
TS : 3916697, TJ : 3474629
TS : 5382565, TJ : 4978957
TS : 1934238, TJ : 1590313
TS : 2003256, TJ : 1658625
TS : 5841744, TJ : 5511713
TS : 4631948, TJ : 4305143
TS : 4841651, TJ : 4467833
TS : 2021075, TJ : 1661075
TS : 7984469, TJ : 7659964
TS : 1877283, TJ : 1504545
TS : 2057039, TJ : 1695305
TS : 1561096, TJ : 1339077
TS : 2042820, TJ : 1647875
TS : 2123682, TJ : 1717759
TS : 1835780, TJ : 1487546
TS : 1990266, TJ : 1676118
TS : 5058094, TJ : 4778580
TS : 3686626, TJ : 3365291
TS : 6273525, TJ : 5884434
TS : 1911380, TJ : 1556801
TS : 2247961, TJ : 1918242
TS : 1641168, TJ : 1335409
TS : 2089172, TJ : 1447191
TS : 1927180, TJ : 1553419
TS : 5159520, TJ : 4778297
TS : 4742971, TJ : 4443295
TS : 7280403, TJ : 6946745
TS : 1894980, TJ : 1502893
TS : 1848783, TJ : 1479980
TS : 2123937, TJ : 1776775
TS : 7213199, TJ : 6815675
TS : 1522542, TJ : 1249729
TS : 8930141, TJ : 8567500
TS : 5051552, TJ : 4696623
TS : 1869236, TJ : 1537522
TS : 5525820, TJ : 5186445
TS : 2944715, TJ : 2518889
TS : 1925756, TJ : 1593190
TS : 1944656, TJ : 1576849
TS : 5003514, TJ : 4673113
TS : 1837920, TJ : 1492559
TS : 3773406, TJ : 3412822
TS : 1889188, TJ : 1525757
TS : 2076517, TJ : 1381878
TS : 5409026, TJ : 4762429
TS : 2055157, TJ : 1708817
TS : 73179045, TJ : 72834155
TS : 2887049, TJ : 1867555
TS : 4682080, TJ : 4394560
TS : 16745175, TJ : 16395267
TS : 1854561, TJ : 1483451
TS : 8326468, TJ : 7786453
TS : 1808965, TJ : 1476363
TS : 4916090, TJ : 4653716
TS : 2077256, TJ : 1703876
TS : 1738903, TJ : 1416965
TS : 8402750, TJ : 8105312
TS : 8884063, TJ : 8510013
TS : 96642990, TJ : 95635553
TS : 3788431, TJ : 1850142
TS : 1716864, TJ : 1461667
TS : 5544705, TJ : 5145725
TS : 2375716, TJ : 1694082
TS : 3990930, TJ : 3599895
TS : 10534987, TJ : 10200384
TS : 10397712, TJ : 10088946
TS : 2065436, TJ : 1702980
TS : 3889674, TJ : 3572194
TS : 1984000, TJ : 1657359
TS : 6017763, TJ : 5640325
TS : 2165632, TJ : 1814807
TS : 2113230, TJ : 1738464
TS : 16882283, TJ : 16456987
TS : 1889006, TJ : 1524378
TS : 3937497, TJ : 3611195
TS : 1935663, TJ : 1592886
TS : 6105753, TJ : 5801004
TS : 6043646, TJ : 5691845
TS : 5712635, TJ : 5298018
TS : 1847989, TJ : 1453379
TS : 1878547, TJ : 1544800
TS : 1836663, TJ : 1464779
TS : 4265997, TJ : 3921794
TS : 2131712, TJ : 1813347
TS : 5396586, TJ : 4728039
TS : 1878770, TJ : 1535544
TS : 2060124, TJ : 1665506
TS : 1871345, TJ : 1507375
TS : 1727882, TJ : 1411707
TS : 2063982, TJ : 1639866
TS : 11474119, TJ : 11147309
TS : 1910708, TJ : 1579934
TS : 1879148, TJ : 1509065
TS : 1950392, TJ : 1604977
TS : 1925112, TJ : 1593112
TS : 1981268, TJ : 1561955
TS : 1799902, TJ : 1449829
TS : 4603821, TJ : 4255172
TS : 1780386, TJ : 1390072
TS : 1989956, TJ : 1655082
TS : 11374759, TJ : 10993540
TS : 1877209, TJ : 1517658
TS : 5488913, TJ : 5077629
TS : 1739005, TJ : 1385237
TS : 2066342, TJ : 1401362
TS : 8647879, TJ : 8261010
TS : 6295858, TJ : 5893783
TS : 1955835, TJ : 1548273
TS : 2564101, TJ : 2215435
TS : 11541921, TJ : 10428606
TS : 2070273, TJ : 1725064
TS : 6356785, TJ : 6009763
TS : 2475614, TJ : 2116659
TS : 1883490, TJ : 1559774
TS : 3864972, TJ : 3471816
TS : 4511056, TJ : 4106971
TS : 3809574, TJ : 3438263
TS : 1789208, TJ : 1435202
TS : 2113855, TJ : 1794829
TS : 1827333, TJ : 1499867
TS : 4888950, TJ : 4551866
TS : 68580058, TJ : 68219247
TS : 10517936, TJ : 10458238
TS : 1713389, TJ : 1649970
TS : 1377919, TJ : 1319823
TS : 4038778, TJ : 3714752
TS : 1926657, TJ : 1563384
TS : 2177215, TJ : 1824579
TS : 1835820, TJ : 1460923
TS : 5916083, TJ : 5594530
TS : 2269645, TJ : 1925859
TS : 1816180, TJ : 1492141
TS : 1855709, TJ : 1544989
TS : 2145561, TJ : 1730629
TS : 5224670, TJ : 4900370
TS : 1935814, TJ : 1600654
TS : 1971979, TJ : 1606456
TS : 6459962, TJ : 6095868
TS : 2323122, TJ : 2000060
TS : 2172377, TJ : 1794923
TS : 2150030, TJ : 1799942
TS : 10114621, TJ : 9748975
TS : 2001030, TJ : 1641242
TS : 81060644, TJ : 80708844
TS : 1916215, TJ : 1554409
TS : 4983399, TJ : 4663233
TS : 1893993, TJ : 1540715
TS : 4507983, TJ : 4187362
TS : 7861654, TJ : 7807289
TS : 4683685, TJ : 4627958
TS : 5425180, TJ : 5087310
TS : 1827787, TJ : 1479534
TS : 59845649, TJ : 59498817
TS : 2676366, TJ : 2327916
TS : 5193144, TJ : 4849001
TS : 1841018, TJ : 1487052
TS : 7442415, TJ : 7113432
TS : 11293428, TJ : 10918781
TS : 4245568, TJ : 3872259
TS : 10383317, TJ : 10026960
TS : 3782874, TJ : 3451661
TS : 1452345, TJ : 1399535
TS : 1377823, TJ : 1318831
TS : 1915873, TJ : 1857273
TS : 1437638, TJ : 1380078
TS : 4467113, TJ : 4411822
TS : 7246238, TJ : 7189047
TS : 3926829, TJ : 3568541
TS : 4825875, TJ : 4504559
TS : 6550150, TJ : 6184585
TS : 1962796, TJ : 1599747
TS : 9587335, TJ : 9182037
TS : 6852699, TJ : 6517284
TS : 4767802, TJ : 4363566
TS : 1856347, TJ : 1544190
TS : 1747848, TJ : 1417026
TS : 4885552, TJ : 4564342
TS : 1916925, TJ : 1562192
TS : 1974167, TJ : 1645025
TS : 1823472, TJ : 1468782
TS : 2270974, TJ : 1945598
TS : 4361953, TJ : 4073750
TS : 1585397, TJ : 1531524
TS : 2753345, TJ : 2697614
TS : 5506325, TJ : 4823481
TS : 1951713, TJ : 1622012
TS : 1929725, TJ : 1524722
TS : 77285946, TJ : 76912615
TS : 5438361, TJ : 5113782
TS : 1965916, TJ : 1642046
TS : 7996746, TJ : 7603118
TS : 1851877, TJ : 1510161
TS : 1749792, TJ : 1424030
TS : 1763448, TJ : 1463709
TS : 1762363, TJ : 1407180
TS : 3722564, TJ : 1869145
TS : 90977328, TJ : 90617480
TS : 1692289, TJ : 1341929
TS : 4334585, TJ : 4279957
TS : 1486095, TJ : 1431349
TS : 1400974, TJ : 1345734
TS : 6128133, TJ : 6073749
TS : 14519023, TJ : 14462296
TS : 1883002, TJ : 1516265
TS : 1892508, TJ : 1555053
TS : 1819322, TJ : 1484934
TS : 5322710, TJ : 4863677
TS : 58962402, TJ : 58630964
TS : 1449071, TJ : 1370490
TS : 1277361, TJ : 1224059
TS : 4127492, TJ : 4068883
TS : 4465449, TJ : 4408745
TS : 3880739, TJ : 3816124
TS : 135520403, TJ : 135468274
TS : 1293967, TJ : 1239481
TS : 1360284, TJ : 1307782
TS : 1402693, TJ : 1333733
TS : 1266412, TJ : 1210872
TS : 1739501, TJ : 1688499
TS : 11175368, TJ : 11122864
TS : 1994113, TJ : 1670807
TS : 1727891, TJ : 1395157
TS : 4353046, TJ : 4023407
TS : 1687225, TJ : 1330143
TS : 4771762, TJ : 4454879
TS : 5082576, TJ : 4727569
TS : 3904307, TJ : 3576213
TS : 1784521, TJ : 1455324
TS : 1913796, TJ : 1528785
TS : 8389443, TJ : 8048604
TS : 1964597, TJ : 1630655
TS : 1796275, TJ : 1427554
TS : 2241158, TJ : 1925325
TS : 26597238, TJ : 26252503
TS : 1815781, TJ : 1509497
TS : 1802270, TJ : 1457178
TS : 1929175, TJ : 1632372
TS : 1928270, TJ : 1535954
TS : 4695829, TJ : 4373170
TS : 4928521, TJ : 4273622
TS : 1784739, TJ : 1426221
TS : 1759511, TJ : 1446086
TS : 1807305, TJ : 1425483
TS : 4727355, TJ : 4421664
TS : 5331689, TJ : 4975877
TS : 85452286, TJ : 85111493
TS : 1826414, TJ : 1425874
TS : 1836978, TJ : 1499639
TS : 1840659, TJ : 1468452
TS : 4713680, TJ : 4401325
TS : 4458050, TJ : 4088840
TS : 16843637, TJ : 16791935
TS : 1806692, TJ : 1493193
TS : 4856839, TJ : 4532244
TS : 1744001, TJ : 1439262
TS : 1704851, TJ : 1387723
TS : 3452039, TJ : 3169961
TS : 4526269, TJ : 4026637
TS : 6537961, TJ : 6227054
TS : 5295851, TJ : 4661517
TS : 1877798, TJ : 1573375
TS : 13430148, TJ : 13105318
TS : 3903491, TJ : 1443434
TS : 4676499, TJ : 4269456
TS : 1845491, TJ : 1489327
TS : 1730073, TJ : 1363922
TS : 1958825, TJ : 1608889
TS : 1885607, TJ : 1546746
TS : 18110860, TJ : 17795034
TS : 5988066, TJ : 5593258
TS : 1708596, TJ : 1395280
TS : 2120999, TJ : 1741097
TS : 37851104, TJ : 37484698
TS : 1826442, TJ : 1488094
TS : 1735334, TJ : 1458598
TS : 17935254, TJ : 17699410
TS : 1834352, TJ : 1477413
TS : 1771636, TJ : 1435009
TS : 4518680, TJ : 4224301
TS : 1876358, TJ : 1559305
TS : 5025746, TJ : 4353333
TS : 1743954, TJ : 1420082
TS : 1681153, TJ : 1352632
TS : 1670142, TJ : 1319633
TS : 3360716, TJ : 3059717
TS : 1763993, TJ : 1429066
TS : 1920652, TJ : 1547516
TS : 2132803, TJ : 1753857
TS : 1987117, TJ : 1671218
TS : 4409920, TJ : 4062642
TS : 5461241, TJ : 5410827
TS : 3773005, TJ : 3448834
TS : 2109443, TJ : 1711015
TS : 1856830, TJ : 1482598
TS : 1777551, TJ : 1459822
TS : 1601974, TJ : 1260302
TS : 1624686, TJ : 1304822
TS : 51043574, TJ : 50717921
TS : 1830297, TJ : 1520099
TS : 1802703, TJ : 1481585
TS : 3831070, TJ : 1334150
TS : 2999816, TJ : 2698504
TS : 7081179, TJ : 6766924
TS : 1819732, TJ : 1453131
TS : 1816183, TJ : 1478378
TS : 1795520, TJ : 1468351
TS : 4671756, TJ : 4330497
TS : 1593162, TJ : 1271371
TS : 4596803, TJ : 4282495
TS : 1628217, TJ : 1289334
TS : 4595761, TJ : 4244644
TS : 60905697, TJ : 60565679
TS : 1874119, TJ : 1523053
TS : 1845000, TJ : 1484790
TS : 4831844, TJ : 4518739
TS : 1661129, TJ : 1342787
TS : 18578754, TJ : 18278698
TS : 3428226, TJ : 3103024
TS : 11492719, TJ : 11158948
TS : 1767935, TJ : 1433305
TS : 5441114, TJ : 4754392
TS : 1634905, TJ : 1355823
TS : 1743133, TJ : 1402542
TS : 1843503, TJ : 1514873
TS : 1782091, TJ : 1471070
TS : 4336071, TJ : 3978144
TS : 4542403, TJ : 4205131
TS : 5534946, TJ : 5217446
