TS : 284734610, TJ : 35446783
TS : 275452868, TJ : 932915
TS : 659120570, TJ : 446499528
TS : 266543930, TJ : 1368731
TS : 268065929, TJ : 944490
TS : 292162490, TJ : 26572621
TS : 283639789, TJ : 16809541
TS : 321125913, TJ : 62427695
TS : 279502719, TJ : 22003039
TS : 278785496, TJ : 1306674
TS : 289951513, TJ : 29278953
TS : 650964506, TJ : 462555376
TS : 282874853, TJ : 1080044
TS : 294915091, TJ : 29410275
TS : 278657975, TJ : 1410572
TS : 288198687, TJ : 1863234
TS : 284070005, TJ : 672058
TS : 286406348, TJ : 1178772
TS : 307360357, TJ : 30486388
TS : 272013963, TJ : 797292
TS : 278464711, TJ : 2315602
TS : 329719693, TJ : 59869975
TS : 291913174, TJ : 2478224
TS : 291349914, TJ : 1169301
TS : 676031946, TJ : 480412738
TS : 297353899, TJ : 3408280
TS : 395884843, TJ : 114339444
TS : 351518024, TJ : 79982522
TS : 319426720, TJ : 5193232
TS : 312420659, TJ : 9228985
TS : 332332083, TJ : 34223698
TS : 392136828, TJ : 117417579
TS : 315427178, TJ : 18552304
TS : 690483551, TJ : 503317621
TS : 314269581, TJ : 17118929
TS : 310831407, TJ : 15821587
TS : 306507782, TJ : 6604139
TS : 305236678, TJ : 6283269
TS : 279199415, TJ : 8633299
TS : 304402902, TJ : 14383597
TS : 315301315, TJ : 15155183
TS : 271188462, TJ : 5951320
TS : 287767514, TJ : 12146725
TS : 296454705, TJ : 19303297
TS : 245815609, TJ : 9180834
TS : 228492645, TJ : 9240302
TS : 345311839, TJ : 44151626
TS : 263324283, TJ : 14821520
TS : 230751997, TJ : 8318765
TS : 217997633, TJ : 7099238
TS : 221390663, TJ : 9053081
TS : 312098504, TJ : 29539104
TS : 206209966, TJ : 6444287
TS : 195151679, TJ : 7694509
TS : 189436123, TJ : 5571198
TS : 191295170, TJ : 8090735
TS : 227742905, TJ : 27637002
TS : 440510578, TJ : 152476508
TS : 191718314, TJ : 9096584
TS : 156211100, TJ : 8887046
TS : 176009792, TJ : 30985977
TS : 177469089, TJ : 830038
TS : 255997746, TJ : 57435587
TS : 224839411, TJ : 35182509
TS : 181333409, TJ : 1402050
TS : 181116041, TJ : 2274727
TS : 193258983, TJ : 46740171
TS : 160964949, TJ : 2621568
TS : 158560592, TJ : 1036883
TS : 208630028, TJ : 25384946
TS : 136461793, TJ : 1021203
TS : 139200104, TJ : 1314738
TS : 148898148, TJ : 1643921
TS : 143111927, TJ : 2034049
TS : 147403239, TJ : 1084610
TS : 192308832, TJ : 32866834
TS : 213719149, TJ : 59964390
TS : 161560181, TJ : 20430920
TS : 166169014, TJ : 1104684
TS : 179326683, TJ : 26959707
TS : 173497524, TJ : 1083293
TS : 244214447, TJ : 92252052
TS : 180116831, TJ : 40707676
TS : 164625975, TJ : 3724613
TS : 163741466, TJ : 789169
TS : 183188016, TJ : 5366564
TS : 161079427, TJ : 780625
TS : 167614585, TJ : 10461535
