TS : 2959397, TJ : 1725592
TS : 2864860, TJ : 1584235
TS : 2382987, TJ : 1380887
TS : 2592770, TJ : 1558705
TS : 2107648, TJ : 1130676
TS : 3349776, TJ : 1772277
TS : 7334739, TJ : 5635324
TS : 2156745, TJ : 1154340
TS : 7475045, TJ : 5924667
TS : 6386829, TJ : 5417172
TS : 19631869, TJ : 15511132
TS : 3693816, TJ : 1979158
TS : 9382356, TJ : 7762580
TS : 3674067, TJ : 3389392
TS : 5964800, TJ : 4566513
TS : 7786000, TJ : 5673378
TS : 11311270, TJ : 5905406
TS : 12614405, TJ : 5971791
TS : 12997402, TJ : 9698816
TS : 14272322, TJ : 5866580
TS : 30116524, TJ : 27482521
TS : 10601366, TJ : 1623784
TS : 11943819, TJ : 6903898
TS : 13045899, TJ : 6137323
TS : 13894648, TJ : 10231906
TS : 16794336, TJ : 14204553
TS : 12164694, TJ : 8934512
TS : 14028533, TJ : 4931383
TS : 15626091, TJ : 8359624
TS : 17914957, TJ : 15601253
TS : 22046694, TJ : 16915070
TS : 11608706, TJ : 8406267
TS : 13300664, TJ : 4532332
TS : 13873420, TJ : 6903368
TS : 14481491, TJ : 9401797
TS : 16290199, TJ : 13994369
TS : 7802546, TJ : 6751721
TS : 9810413, TJ : 5295671
TS : 10273126, TJ : 7838945
TS : 17052519, TJ : 15408591
TS : 16031200, TJ : 9065278
TS : 5692984, TJ : 1963527
TS : 3286749, TJ : 1175168
TS : 10121459, TJ : 7306091
TS : 14017555, TJ : 11308841
TS : 2197533, TJ : 1235203
TS : 8271453, TJ : 2228016
TS : 11529067, TJ : 8862787
TS : 12087853, TJ : 6166804
TS : 17321002, TJ : 14357834
TS : 24665722, TJ : 23441622
TS : 3244098, TJ : 1241605
TS : 4465704, TJ : 1561426
TS : 5073604, TJ : 3956687
TS : 10035085, TJ : 2362981
TS : 19888387, TJ : 18533196
TS : 7276830, TJ : 1533592
TS : 12785472, TJ : 8736764
TS : 9961396, TJ : 3420566
TS : 20604555, TJ : 19154330
TS : 12054768, TJ : 6963702
TS : 3072963, TJ : 1814857
TS : 6272408, TJ : 2856093
TS : 3343734, TJ : 1167855
TS : 19057838, TJ : 17539735
TS : 22419219, TJ : 21419092
TS : 3493478, TJ : 1788461
TS : 3623615, TJ : 1214781
TS : 8478398, TJ : 7481787
TS : 13668227, TJ : 12265477
TS : 2890602, TJ : 1700012
TS : 3051408, TJ : 1767158
TS : 2301497, TJ : 1270132
TS : 3488431, TJ : 1684988
TS : 2516818, TJ : 1574636
TS : 2429543, TJ : 1457970
TS : 2361296, TJ : 1341760
TS : 5448539, TJ : 4466225
TS : 35302429, TJ : 34099450
TS : 110980383, TJ : 110052373
TS : 2975155, TJ : 1702843
TS : 2716788, TJ : 1676228
TS : 5375337, TJ : 4403346
TS : 5170492, TJ : 4184557
TS : 2247800, TJ : 1298844
TS : 3180244, TJ : 1918854
TS : 5700002, TJ : 4690943
TS : 2281117, TJ : 1326818
TS : 11893491, TJ : 10195115
TS : 15965540, TJ : 12485061
TS : 3066216, TJ : 1734565
TS : 2435125, TJ : 1469815
TS : 2415426, TJ : 1448141
TS : 2826995, TJ : 1668797
TS : 25510984, TJ : 24483372
TS : 2001812, TJ : 1573228
TS : 2731273, TJ : 1714797
TS : 6710659, TJ : 5235958
TS : 2497647, TJ : 1440318
TS : 3045608, TJ : 1758310
TS : 2336627, TJ : 1344540
TS : 2150645, TJ : 1197104
TS : 2149602, TJ : 1248370
TS : 2275522, TJ : 1296425
TS : 3349084, TJ : 2322177
TS : 3371025, TJ : 2094566
TS : 15660950, TJ : 14671421
TS : 5595145, TJ : 4513297
TS : 2603203, TJ : 1358718
TS : 2875068, TJ : 1515461
TS : 2358000, TJ : 1268088
TS : 121241939, TJ : 120079762
TS : 2177385, TJ : 1184254
TS : 2729572, TJ : 1466733
TS : 2783176, TJ : 1572374
TS : 64677055, TJ : 63409569
TS : 2390973, TJ : 1373235
TS : 10737392, TJ : 8436037
TS : 2316169, TJ : 1273346
TS : 2628952, TJ : 1517787
TS : 2189060, TJ : 1136372
TS : 2813196, TJ : 1607446
TS : 2050851, TJ : 1133497
TS : 9281847, TJ : 8314455
TS : 2648939, TJ : 1581082
TS : 4822461, TJ : 1343144
TS : 6317883, TJ : 4562356
TS : 2291305, TJ : 1250077
TS : 5717092, TJ : 4710350
TS : 2097319, TJ : 1204265
TS : 2175271, TJ : 1261382
TS : 5860826, TJ : 4576256
TS : 2299708, TJ : 1300251
TS : 5165228, TJ : 4246574
TS : 2341598, TJ : 1352248
TS : 3127736, TJ : 1187777
TS : 9612525, TJ : 8471219
TS : 2081600, TJ : 1196008
TS : 5964443, TJ : 5006102
TS : 1654247, TJ : 1435186
TS : 1358428, TJ : 1001206
TS : 2226442, TJ : 1342435
TS : 84907807, TJ : 83923908
TS : 2411831, TJ : 1415034
TS : 2473536, TJ : 1611182
TS : 7411371, TJ : 4064090
TS : 12500607, TJ : 11037920
TS : 2410485, TJ : 1388384
TS : 2346411, TJ : 1352428
TS : 3012464, TJ : 1778483
TS : 2460924, TJ : 1511669
TS : 2449232, TJ : 1430918
TS : 2492168, TJ : 1576472
TS : 2294106, TJ : 1371334
TS : 3217073, TJ : 1644079
TS : 2165371, TJ : 1273227
TS : 2564028, TJ : 1634118
TS : 2224013, TJ : 1310087
TS : 2162647, TJ : 1269236
TS : 2890062, TJ : 1736514
TS : 2189431, TJ : 1301360
TS : 5721021, TJ : 4697563
TS : 2065673, TJ : 1129979
TS : 1963396, TJ : 1086601
TS : 2910304, TJ : 1723572
TS : 2221872, TJ : 1195968
TS : 2025823, TJ : 1130695
TS : 1952705, TJ : 1032251
TS : 2719801, TJ : 1442168
TS : 1951580, TJ : 998901
TS : 84118332, TJ : 83203091
TS : 2272364, TJ : 1221196
TS : 3536071, TJ : 2617500
TS : 2239607, TJ : 1291455
TS : 6152523, TJ : 4909848
TS : 2364259, TJ : 1364273
TS : 1996378, TJ : 1287962
TS : 12138862, TJ : 11246934
TS : 8564856, TJ : 5341037
TS : 2390740, TJ : 1419934
TS : 12172083, TJ : 10029508
TS : 2291159, TJ : 1317320
TS : 3925290, TJ : 2928475
TS : 2941370, TJ : 1765120
TS : 4335725, TJ : 1366868
TS : 5343942, TJ : 4034398
TS : 2044061, TJ : 1080649
TS : 2279443, TJ : 1343183
TS : 3412880, TJ : 2144344
TS : 7136331, TJ : 6041604
TS : 4206701, TJ : 1596821
TS : 5387211, TJ : 4097929
TS : 2765687, TJ : 1719546
TS : 2891997, TJ : 1683253
TS : 5142051, TJ : 3806254
TS : 6465206, TJ : 4329618
TS : 14385629, TJ : 14163682
TS : 2639554, TJ : 1373597
TS : 6740154, TJ : 5579248
TS : 3615419, TJ : 1276487
TS : 4718878, TJ : 3459178
TS : 105351665, TJ : 104337453
TS : 2308728, TJ : 1249092
TS : 3015923, TJ : 1823477
TS : 2656143, TJ : 1547569
TS : 2109913, TJ : 1167351
TS : 2461430, TJ : 1497717
TS : 5778273, TJ : 4873983
TS : 3025836, TJ : 1719408
TS : 2224914, TJ : 1284638
TS : 9397023, TJ : 8151641
