TS : 1992954, TJ : 1748307
TS : 16652860, TJ : 16205783
TS : 3726166, TJ : 3105848
TS : 13360248, TJ : 13103669
TS : 14108134, TJ : 9618792
TS : 25295881, TJ : 25040872
TS : 4946201, TJ : 1404732
TS : 4854401, TJ : 3703235
TS : 2275800, TJ : 1946943
TS : 2489091, TJ : 1143000
TS : 653964126, TJ : 647744965
TS : 4349393, TJ : 3027314
TS : 3304331, TJ : 2278636
TS : 10961858, TJ : 10556332
TS : 1562751, TJ : 1327084
TS : 5236442, TJ : 5008455
TS : 1691617, TJ : 1410588
TS : 10897341, TJ : 7065589
TS : 20526230, TJ : 11316744
TS : 23425565, TJ : 22222012
TS : 29475308, TJ : 22889096
TS : 26708616, TJ : 22265468
TS : 44488887, TJ : 43809580
TS : 3355910, TJ : 2813060
TS : 4491044, TJ : 2375962
TS : 7381649, TJ : 6246393
TS : 3649491, TJ : 2899066
TS : 22256918, TJ : 3771313
TS : 22492318, TJ : 11012410
TS : 28286845, TJ : 16954455
TS : 39694948, TJ : 24561025
TS : 43895583, TJ : 27076419
TS : 3566537, TJ : 1458233
TS : 4487671, TJ : 3842763
TS : 7064136, TJ : 5824684
TS : 204490340, TJ : 203192388
TS : 649578488, TJ : 649310857
TS : 30500048, TJ : 30194070
TS : 25186783, TJ : 24935966
TS : 8103896, TJ : 6945848
TS : 9011950, TJ : 4683583
TS : 1650745, TJ : 1333380
TS : 7822988, TJ : 7487348
TS : 15415333, TJ : 9865936
TS : 14290839, TJ : 9076015
TS : 7033063, TJ : 6340427
TS : 5026476, TJ : 4080962
TS : 678780613, TJ : 676981286
TS : 44037063, TJ : 38200490
TS : 10273598, TJ : 5378162
TS : 69127832, TJ : 67811202
TS : 10625441, TJ : 10414201
TS : 16000771, TJ : 15766146
TS : 8888741, TJ : 8621639
TS : 8169201, TJ : 5196629
TS : 2754343, TJ : 1503834
TS : 660062308, TJ : 658537745
TS : 19382630, TJ : 19117422
TS : 636120198, TJ : 635775222
TS : 45633108, TJ : 44902755
TS : 5520910, TJ : 3251563
TS : 8001127, TJ : 7135790
TS : 11290923, TJ : 10515698
TS : 11902323, TJ : 8117758
TS : 1639575, TJ : 1352874
TS : 6482516, TJ : 6281703
TS : 5153939, TJ : 4900259
TS : 47929522, TJ : 44329242
TS : 6698372, TJ : 2994362
TS : 6895389, TJ : 6322819
TS : 7602063, TJ : 5135826
TS : 2304556, TJ : 1941838
TS : 9309212, TJ : 8291909
TS : 4212700, TJ : 1477379
TS : 51196635, TJ : 50983811
