TS : 4723493, TJ : 3745310
TS : 1900903, TJ : 1018815
TS : 2247663, TJ : 1286858
TS : 2115137, TJ : 1120818
TS : 2336477, TJ : 1381017
TS : 2057206, TJ : 1167230
TS : 2040809, TJ : 1123015
TS : 1902092, TJ : 1099424
TS : 2146458, TJ : 1200813
TS : 1574318, TJ : 857473
TS : 3508795, TJ : 3388590
TS : 51962644, TJ : 51024651
TS : 1143825, TJ : 1032371
TS : 1231167, TJ : 1075840
TS : 41828039, TJ : 41697825
TS : 1403921, TJ : 857549
TS : 6655401, TJ : 6515092
TS : 1232276, TJ : 1087412
TS : 2752638, TJ : 2610938
TS : 1320674, TJ : 1198646
TS : 1044106, TJ : 939385
TS : 1034444, TJ : 942668
TS : 4438737, TJ : 4304930
TS : 5153785, TJ : 5026368
TS : 2181272, TJ : 1138652
TS : 3853933, TJ : 2726140
TS : 4698196, TJ : 2016176
TS : 2011810, TJ : 1079015
TS : 1206205, TJ : 1102438
TS : 2394610, TJ : 2295451
TS : 5486440, TJ : 5372863
TS : 47744682, TJ : 46789155
TS : 3835342, TJ : 2984201
TS : 1204890, TJ : 910615
TS : 1011113, TJ : 912603
TS : 3525832, TJ : 3426547
TS : 947146, TJ : 848975
TS : 3244288, TJ : 3149749
TS : 1147434, TJ : 1033650
TS : 957590, TJ : 852423
TS : 3074651, TJ : 2987936
TS : 1136932, TJ : 1039230
TS : 3615314, TJ : 3487842
TS : 966043, TJ : 867527
TS : 1189997, TJ : 1077571
TS : 924865, TJ : 829277
TS : 1137030, TJ : 778948
TS : 967431, TJ : 879375
TS : 1139883, TJ : 1038713
TS : 1354631, TJ : 1241407
TS : 2361136, TJ : 2262838
TS : 1249538, TJ : 1124985
TS : 1163724, TJ : 1054687
TS : 1163011, TJ : 1058606
TS : 1664054, TJ : 1579259
TS : 1029753, TJ : 934867
TS : 1037361, TJ : 939604
TS : 29100769, TJ : 28962349
TS : 72638440, TJ : 72445869
TS : 77386717, TJ : 77299042
TS : 78648705, TJ : 78467712
TS : 82663178, TJ : 82572096
TS : 135161834, TJ : 135070677
TS : 4860874, TJ : 4766308
TS : 9104944, TJ : 9015950
TS : 9995601, TJ : 9907575
TS : 15405828, TJ : 15210778
TS : 4931925, TJ : 4843340
TS : 5984406, TJ : 5891675
TS : 5044598, TJ : 4955047
TS : 7335134, TJ : 7252643
TS : 10734300, TJ : 10511542
TS : 8169508, TJ : 1489773
TS : 4281233, TJ : 1169093
TS : 8380756, TJ : 2867261
TS : 9252432, TJ : 4390774
TS : 10392101, TJ : 8242241
TS : 8163161, TJ : 1799248
TS : 11474138, TJ : 3549135
TS : 14163504, TJ : 11636421
TS : 16887163, TJ : 8990049
TS : 16904851, TJ : 12910371
TS : 1915428, TJ : 1829756
TS : 6371649, TJ : 6264424
TS : 8361077, TJ : 8171884
TS : 9137873, TJ : 9052713
TS : 28444514, TJ : 28362867
TS : 5647033, TJ : 5527679
TS : 4768681, TJ : 4677781
TS : 5638144, TJ : 5561189
TS : 11771731, TJ : 11689160
TS : 15568898, TJ : 15406989
TS : 3748863, TJ : 3586057
TS : 2445171, TJ : 2299994
TS : 2648916, TJ : 2531000
TS : 3069229, TJ : 2981297
TS : 10700978, TJ : 10595767
TS : 1756528, TJ : 1580151
TS : 1197173, TJ : 1107083
TS : 2849487, TJ : 2746787
TS : 4796781, TJ : 4698584
TS : 1096546, TJ : 1000807
TS : 1420479, TJ : 1279345
TS : 1007180, TJ : 911404
TS : 984126, TJ : 874407
TS : 1135503, TJ : 1040577
TS : 2788073, TJ : 2694220
TS : 3625762, TJ : 3468024
TS : 988056, TJ : 896548
TS : 1199783, TJ : 1101088
TS : 1192940, TJ : 1093171
TS : 1177629, TJ : 1089503
TS : 1346456, TJ : 1202813
TS : 1141809, TJ : 1019660
TS : 1143277, TJ : 1033458
TS : 1131883, TJ : 1039646
TS : 1100611, TJ : 991653
TS : 4275524, TJ : 4116635
TS : 1109025, TJ : 998854
TS : 3282750, TJ : 3191465
TS : 1278649, TJ : 1188668
TS : 2979055, TJ : 2870033
TS : 1635116, TJ : 1484293
TS : 971653, TJ : 864635
TS : 1167564, TJ : 1070521
TS : 1024950, TJ : 923860
TS : 2749656, TJ : 2658881
TS : 3442428, TJ : 3341194
TS : 991214, TJ : 901395
TS : 1059088, TJ : 949501
TS : 15752548, TJ : 15611326
TS : 56667673, TJ : 56567368
TS : 1306366, TJ : 1166982
TS : 1967445, TJ : 1884967
TS : 1964637, TJ : 1859578
TS : 4119273, TJ : 4002526
TS : 3710769, TJ : 3576860
TS : 3529440, TJ : 3421549
TS : 1330617, TJ : 1242365
TS : 2642858, TJ : 2511595
TS : 1226992, TJ : 1107809
TS : 4036490, TJ : 3938872
TS : 949998, TJ : 850168
TS : 3706736, TJ : 3625385
TS : 11083970, TJ : 10994046
TS : 7399445, TJ : 7283174
TS : 1321606, TJ : 1236333
TS : 4879658, TJ : 4778165
TS : 3220422, TJ : 3106341
TS : 9351287, TJ : 9255286
TS : 3536700, TJ : 3434786
TS : 7102317, TJ : 7009098
TS : 1076400, TJ : 984309
TS : 2803526, TJ : 2711053
TS : 1283433, TJ : 1189748
TS : 1452054, TJ : 1305921
TS : 1086959, TJ : 975131
TS : 1858832, TJ : 1773130
TS : 2093911, TJ : 1982195
TS : 4753521, TJ : 4082652
TS : 1703261, TJ : 1502742
TS : 3790393, TJ : 3664773
TS : 1182236, TJ : 1085593
TS : 2961868, TJ : 2847748
TS : 1021661, TJ : 919145
TS : 2932777, TJ : 2835484
TS : 1053652, TJ : 949251
TS : 1107187, TJ : 1010014
TS : 2854637, TJ : 2755568
TS : 2046340, TJ : 1141723
TS : 5282279, TJ : 4129242
TS : 7486613, TJ : 4778098
TS : 3797203, TJ : 2692159
TS : 3987014, TJ : 2573404
TS : 1865704, TJ : 976269
TS : 2597847, TJ : 1469718
TS : 2166402, TJ : 1294131
TS : 4299817, TJ : 2701821
TS : 2378658, TJ : 969336
TS : 1722467, TJ : 858315
TS : 1924291, TJ : 1146140
TS : 1632803, TJ : 1135540
TS : 5452450, TJ : 5155187
TS : 3965558, TJ : 2500507
TS : 4090651, TJ : 3479961
TS : 1745151, TJ : 1385873
TS : 1060956, TJ : 895784
TS : 961908, TJ : 867723
TS : 8970338, TJ : 8240959
TS : 1058149, TJ : 958255
TS : 1464947, TJ : 1369119
TS : 1119955, TJ : 1020646
TS : 5349717, TJ : 5253863
TS : 9593372, TJ : 9473100
TS : 1012933, TJ : 913633
TS : 3245523, TJ : 3141670
TS : 1074382, TJ : 977263
TS : 6317100, TJ : 6227790
TS : 11139871, TJ : 11010443
TS : 1121790, TJ : 1023609
TS : 1615598, TJ : 1522991
TS : 2958955, TJ : 2834277
TS : 2278501, TJ : 1657896
TS : 3055040, TJ : 2967591
TS : 4322294, TJ : 4209849
TS : 1543689, TJ : 1392836
TS : 1099772, TJ : 998880
TS : 5735432, TJ : 5605780
TS : 2564808, TJ : 2464143
TS : 49787707, TJ : 49693073
TS : 2604664, TJ : 1037772
TS : 1829204, TJ : 1024403
TS : 10679129, TJ : 10033935
TS : 3463217, TJ : 3051994
TS : 4416214, TJ : 2009106
TS : 1486627, TJ : 664479
TS : 6800850, TJ : 5908667
TS : 2041540, TJ : 1154902
TS : 2030800, TJ : 1217183
TS : 2408368, TJ : 1066429
TS : 2044386, TJ : 1062188
TS : 4117158, TJ : 3332471
TS : 3385004, TJ : 2450581
TS : 1980234, TJ : 1045390
TS : 5749098, TJ : 4933396
TS : 970028, TJ : 872046
TS : 1091974, TJ : 983184
TS : 991717, TJ : 891659
TS : 1152125, TJ : 844296
TS : 3351419, TJ : 3258701
TS : 1228558, TJ : 1116494
TS : 1090553, TJ : 994176
TS : 1427071, TJ : 999433
TS : 3822553, TJ : 3538373
TS : 1256510, TJ : 760724
TS : 1232605, TJ : 1116930
TS : 999741, TJ : 896860
TS : 1013787, TJ : 920950
TS : 2399845, TJ : 2266086
TS : 1162921, TJ : 888802
TS : 2507433, TJ : 1079139
TS : 5158764, TJ : 4255679
TS : 2012108, TJ : 1155989
TS : 66783648, TJ : 66016597
TS : 1982443, TJ : 1270484
TS : 1904702, TJ : 1025932
TS : 2176536, TJ : 1186525
TS : 4366321, TJ : 3443264
TS : 1850154, TJ : 967398
